Agence,Date de transaction,Communes,map
Clermont A,2022-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-06-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-12-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-06-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-06-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-06-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-09-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-03-31,Brugelette,"50.6016956, 3.8647978539522874"
Clermont A,2022-09-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-12-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-03-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-06-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-03-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-03-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-12-31,Brugelette,"50.6016956, 3.8647978539522874"
Clermont A,2022-09-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-06-30,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2022-06-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-06-30,Brunehaut,"50.5152751, 3.4207905"
Clermont A,2022-09-30,Brugelette,"50.6016956, 3.8647978539522874"
Clermont A,2022-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-12-31,Mons,"50.445820850000004, 3.977683401229719"
Clermont A,2022-12-31,Mons,"50.445820850000004, 3.977683401229719"
Clermont A,2022-12-31,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2022-09-30,Grammont,"50.7715779, 3.8827287"
Clermont A,2022-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-12-31,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2022-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-09-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-03-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-09-30,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2022-09-30,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2022-12-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-09-30,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2022-12-31,Saint-Ghislain,"50.4477484, 3.8195241"
Clermont A,2022-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-03-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-12-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2022-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2022-06-30,Silly,"50.64284065, 3.9423457187111137"
Clermont A,2022-09-30,Chièvres,"50.56999985, 3.7793461759110007"
